Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
01:30 - 02:00,40819.62,0.1,40819.74,40839.45,40762.75,1798,N.A.
02:00 - 02:30,40753.56,-66.06,40819.78,40834.28,40738.18,1797,N.A.
02:30 - 03:00,40758.9,5.34,40754.47,40802.93,40745.14,1797,N.A.
03:00 - 03:30,40741.2,-17.7,40758.47,40791.92,40727.41,1798,N.A.
03:30 - 04:00,40665.26,-75.94,40741.41,40752.74,40633.7,1797,N.A.
04:00 - 04:30,40686.92,21.66,40662.5,40748.13,40613.98,1798,N.A.
04:30 - 05:00,40674.18,-12.74,40685.73,40706.96,40648.88,1797,N.A.
05:00 - 05:30,40676.63,2.45,40674.18,40676.63,40674.18,1798,N.A.
05:30 - 06:00,40676.63,0,40676.63,40676.63,40676.63,1797,N.A.
06:00 - 06:30,40676.63,0,40676.63,40676.63,40676.63,1798,N.A.
22:30 - 23:00,41131.06,454.43,40983.95,41175.7,40978.45,1368,N.A.
23:00 - 23:30,41168.61,37.55,41132.39,41230.14,41132.22,1797,N.A.
23:30 - 00:00,41110.86,-57.75,41168.31,41169.2,41093.36,1797,N.A.
07JAN2020_00:00:00.000000,,,,,,,
00:00 - 00:30,41020.09,-90.77,41110.49,41122.3,41005.76,1799,N.A.
00:30 - 01:00,40946.34,-73.75,41020.09,41020.09,40893.97,1797,N.A.
01:00 - 01:30,40943.28,-3.06,40947.17,41027.47,40932.07,1797,N.A.
01:30 - 02:00,40943.93,0.65,40940.69,40983.29,40929.92,1798,N.A.
02:00 - 02:30,40931.43,-12.5,40943.93,40999.62,40920.03,1797,N.A.
02:30 - 03:00,40741.54,-189.89,40931.43,40931.43,40739.21,1797,N.A.
03:00 - 03:30,40808.99,67.45,40740.31,40881.09,40727.37,1798,N.A.
03:30 - 04:00,40843.18,34.19,40809.09,40864.21,40784.01,1797,N.A.
04:00 - 04:30,40810.4,-32.78,40843.29,40891.89,40789.78,1797,N.A.
04:30 - 05:00,40915.73,105.33,40817.11,40932.76,40809.87,1798,N.A.
05:00 - 05:30,40869.47,-46.26,40915.73,40915.73,40869.47,1797,N.A.
05:30 - 06:00,40869.47,0,40869.47,40869.47,40869.47,1797,N.A.
06:00 - 06:30,40869.47,0,40869.47,40869.47,40869.47,1799,N.A.
22:30 - 23:00,40670.24,-199.23,40569.96,40684.46,40478.92,1371,N.A.
23:00 - 23:30,40701.77,31.53,40672.54,40865.32,40637.96,1798,N.A.
23:30 - 00:00,40748.59,46.82,40702.98,40789.82,40677.73,1798,N.A.
08JAN2020_00:00:00.000000,,,,,,,
00:00 - 00:30,40633.3,-115.29,40748.67,40750.85,40632.62,1797,N.A.
00:30 - 01:00,40578.27,-55.03,40633.48,40655.95,40555.49,1798,N.A.
01:00 - 01:30,40615.51,37.24,40578.93,40617.2,40555.05,1797,N.A.
01:30 - 02:00,40641.89,26.38,40614.9,40665.27,40575.63,1797,N.A.
02:00 - 02:30,40717,75.11,40642.43,40749.08,40642.19,1798,N.A.
02:30 - 03:00,40698.01,-18.99,40716.85,40765.16,40667.61,1797,N.A.
03:00 - 03:30,40706.07,8.06,40698.01,40744.24,40669.25,1798,N.A.
03:30 - 04:00,40713.67,7.6,40706.07,40817.88,40700.39,1799,N.A.
04:00 - 04:30,40821.92,108.25,40712.56,40847.83,40701.67,1797,N.A.
04:30 - 05:00,40800.26,-21.66,40821.74,40843.33,40775.25,1797,N.A.
05:00 - 05:30,40817.74,17.48,40800.26,40817.74,40800.26,1798,N.A.
05:30 - 06:00,40817.74,0,40817.74,40817.74,40817.74,1798,N.A.
06:00 - 06:30,40817.74,0,40817.74,40817.74,40817.74,1800,N.A.
22:30 - 23:00,41272.89,455.15,41219,41315.24,41198.3,1370,N.A.
23:00 - 23:30,41196.39,-76.5,41272.46,41272.97,41175.83,1797,N.A.
23:30 - 00:00,41306.94,110.55,41195.75,41312.16,41191.85,1798,N.A.
09JAN2020_00:00:00.000000,,,,,,,
00:00 - 00:30,41340.16,33.22,41306.24,41361.91,41300.57,1798,N.A.
00:30 - 01:00,41318.64,-21.52,41341.06,41356.38,41310.62,1797,N.A.
01:00 - 01:30,41369.16,50.52,41318.78,41374.11,41315.14,1797,N.A.
01:30 - 02:00,41356.68,-12.48,41369.16,41389.38,41343.98,1799,N.A.
02:00 - 02:30,41385.78,29.1,41359.48,41397.27,41354.2,1798,N.A.
02:30 - 03:00,41441.44,55.66,41386.01,41463.93,41384.62,1779,N.A.
03:00 - 03:30,41361.57,-79.87,41441.44,41445.02,41361.25,1797,N.A.
03:30 - 04:00,41398.49,36.92,41361.01,41423.41,41360.48,1798,N.A.
04:00 - 04:30,41413.28,14.79,41397.23,41431.13,41372.6,1795,N.A.
04:30 - 05:00,41444.03,30.75,41413.33,41481.89,41413.33,1797,N.A.
05:00 - 05:30,41452.35,8.32,41444.03,41452.35,41444.03,1798,N.A.
05:30 - 06:00,41452.35,0,41452.35,41452.35,41452.35,1797,N.A.
06:00 - 06:30,41452.35,0,41452.35,41452.35,41452.35,1797,N.A.
22:30 - 23:00,41562.24,109.89,41570.64,41643.32,41544.34,1366,N.A.
23:00 - 23:30,41612.01,49.77,41559.13,41623.3,41505.8,1797,N.A.
23:30 - 00:00,41660.45,48.44,41612.18,41667.95,41587.1,1797,N.A.
10JAN2020_00:00:00.000000,,,,,,,
00:00 - 00:30,41660.07,-0.38,41659.89,41675.7,41637.04,1797,N.A.
00:30 - 01:00,41710.97,50.9,41660.42,41716.64,41650.69,1798,N.A.
01:00 - 01:30,41723.5,12.53,41710.97,41775.11,41706.72,1797,N.A.
01:30 - 02:00,41744.52,21.02,41723.32,41766.1,41716.07,1796,N.A.
02:00 - 02:30,41712.38,-32.14,41744.29,41769.72,41708.22,1798,N.A.
02:30 - 03:00,41685.66,-26.72,41712.23,41726.07,41675.56,1797,N.A.
03:00 - 03:30,41611.77,-73.89,41686.82,41688.27,41580.35,1797,N.A.
03:30 - 04:00,41500.02,-111.75,41612.7,41613.93,41463.35,1797,N.A.
04:00 - 04:30,41518.02,18,41500.42,41552.69,41448.23,1798,N.A.
04:30 - 05:00,41605.73,87.71,41518.2,41619.66,41518.14,1797,N.A.
05:00 - 05:30,41599.72,-6.01,41605.73,41605.73,41599.72,1797,N.A.
05:30 - 06:00,41599.72,0,41599.72,41599.72,41599.72,1798,N.A.
06:00 - 06:30,41599.72,0,41599.72,41599.72,41599.72,1798,N.A.
12JAN2020_00:00:00.000000,,,,,,,
22:30 - 23:00,41836.85,237.13,41791.77,41893.41,41724.22,1367,N.A.
23:00 - 23:30,41827,-9.85,41836.18,41860.03,41780.89,1799,N.A.
23:30 - 00:00,41861.35,34.35,41826.29,41862.89,41795.8,1797,N.A.
13JAN2020_00:00:00.000000,,,,,,,
00:00 - 00:30,41835.98,-25.37,41860.91,41882.67,41824.86,1796,N.A.
00:30 - 01:00,41877.11,41.13,41835.69,41899.62,41827.92,1798,N.A.
01:00 - 01:30,41874.64,-2.47,41877.66,41885.57,41854.12,1797,N.A.
01:30 - 02:00,41855.75,-18.89,41874.46,41880.98,41839.19,1797,N.A.
02:00 - 02:30,41881.43,25.68,41855.75,41891.89,41851.75,1798,N.A.
02:30 - 03:00,41808.21,-73.22,41880.93,41890.2,41786.12,1797,N.A.
03:00 - 03:30,41805.39,-2.82,41808.03,41828.31,41781.91,1798,N.A.
