Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
10:30 - 11:00,3121.71,3.43,3118.29,3122,3118.2,600,N.A.
10JAN2020_00:00:00.000000,,,,,,,
02:00 - 02:30,3110.8,-10.91,3117.24,3117.42,3105.41,1799,N.A.
02:30 - 03:00,3107.29,-3.51,3110.8,3113.08,3101.21,1800,N.A.
03:00 - 03:30,3113.92,6.63,3106.23,3116.05,3105.64,1799,N.A.
03:30 - 04:00,3124.12,10.2,3114.04,3124.59,3113.42,1800,N.A.
04:00 - 04:30,3128.03,3.91,3124.11,3129.12,3122.14,1800,N.A.
04:30 - 05:00,3128.76,0.73,3127.94,3130.92,3127.67,1800,N.A.
05:00 - 05:30,3126.96,-1.8,3128.64,3128.86,3124.4,1800,N.A.
05:30 - 06:00,3124.67,-2.29,3126.93,3128.13,3122.1,1800,N.A.
06:00 - 06:30,3125.08,0.41,3124.57,3127.04,3122.87,1800,N.A.
06:30 - 07:00,3127.09,2.01,3124.89,3128.88,3124.86,1800,N.A.
07:00 - 07:30,3127.56,0.47,3127.05,3127.8,3125.49,1800,N.A.
07:30 - 08:00,3124.75,-2.81,3127.53,3128.45,3124.51,1800,N.A.
08:00 - 08:30,3120.57,-4.18,3124.82,3124.82,3119.57,1798,N.A.
08:30 - 09:00,3121.56,0.99,3120.55,3123.24,3117.42,1800,N.A.
09:00 - 09:30,3127.26,5.7,3121.56,3127.3,3120.5,1800,N.A.
09:30 - 10:00,3124.2,-3.06,3127.37,3127.41,3123.1,1800,N.A.
10:00 - 10:30,3120.75,-3.45,3124.18,3127.33,3120.16,1799,N.A.
10:30 - 11:00,3120.7,-0.05,3120.77,3121.25,3119.74,600,N.A.
13JAN2020_00:00:00.000000,,,,,,,
02:00 - 02:30,3126.6,5.9,3124.96,3128.96,3117.03,1799,N.A.
02:30 - 03:00,3131.49,4.89,3126.5,3131.81,3126.24,1800,N.A.
03:00 - 03:30,3125.71,-5.78,3131.59,3131.59,3122.81,1800,N.A.
03:30 - 04:00,3125.2,-0.51,3125.71,3126.4,3121.52,1800,N.A.
04:00 - 04:30,3127.37,2.17,3125.15,3128.37,3122.71,1799,N.A.
04:30 - 05:00,3126.31,-1.06,3127.14,3128.03,3125.94,1798,N.A.
05:00 - 05:30,3126.28,-0.03,3126.44,3127.81,3124.7,1799,N.A.
05:30 - 06:00,3123.36,-2.92,3126.14,3126.92,3121.82,1800,N.A.
06:00 - 06:30,3123.61,0.25,3123.4,3125.31,3122.25,1799,N.A.
06:30 - 07:00,3121.92,-1.69,3123.64,3125.38,3120.98,1799,N.A.
07:00 - 07:30,3126.3,4.38,3122.04,3126.84,3120.75,1800,N.A.
07:30 - 08:00,3128.16,1.86,3126.32,3128.93,3126.23,1800,N.A.
08:00 - 08:30,3133.74,5.58,3128.14,3133.88,3128.14,1800,N.A.
08:30 - 09:00,3137.07,3.33,3133.69,3137.41,3132.33,1797,N.A.
09:00 - 09:30,3141.87,4.8,3137.11,3143.67,3136.8,1799,N.A.
09:30 - 10:00,3142.87,1,3141.95,3143.78,3134.14,1800,N.A.
10:00 - 10:30,3148.16,5.29,3142.86,3150.41,3140.2,1800,N.A.
10:30 - 11:00,3147.49,-0.67,3148.24,3149.03,3146.03,600,N.A.
14JAN2020_00:00:00.000000,,,,,,,
02:00 - 02:30,3162.14,14.65,3157.65,3162.9,3153.07,1798,N.A.
02:30 - 03:00,3164.39,2.25,3161.8,3166.07,3161.38,1800,N.A.
03:00 - 03:30,3147.78,-16.61,3164.36,3164.36,3147.6,1799,N.A.
03:30 - 04:00,3150.06,2.28,3147.79,3151.42,3146.12,1800,N.A.
04:00 - 04:30,3152.21,2.15,3149.97,3154.93,3149.9,1799,N.A.
04:30 - 05:00,3153.8,1.59,3152.08,3156.13,3151.94,1800,N.A.
05:00 - 05:30,3156.57,2.77,3153.83,3157.09,3153.77,1798,N.A.
05:30 - 06:00,3152.55,-4.02,3157.07,3158.88,3152.34,1800,N.A.
06:00 - 06:30,3143.31,-9.24,3152.57,3153.04,3143.31,1800,N.A.
06:30 - 07:00,3137.43,-5.88,3143.26,3143.28,3135.7,1800,N.A.
07:00 - 07:30,3130.3,-7.13,3137.41,3137.41,3126,1800,N.A.
07:30 - 08:00,3128.72,-1.58,3130.27,3130.99,3126.62,1800,N.A.
08:00 - 08:30,3130.1,1.38,3128.63,3133.39,3128.21,1800,N.A.
08:30 - 09:00,3136.83,6.73,3130.23,3137.2,3129.9,1800,N.A.
09:00 - 09:30,3139.04,2.21,3136.7,3140.74,3134.51,1800,N.A.
09:30 - 10:00,3133.52,-5.52,3138.9,3142.61,3132.97,1799,N.A.
10:00 - 10:30,3133.97,0.45,3133.5,3140.17,3133.38,1800,N.A.
10:30 - 11:00,3132.32,-1.65,3134.06,3136.09,3131.83,600,N.A.
15JAN2020_00:00:00.000000,,,,,,,
02:00 - 02:30,3120.6,-11.72,3125.03,3128.38,3117.63,1798,N.A.
02:30 - 03:00,3121.96,1.36,3120.68,3123.47,3120.25,1799,N.A.
03:00 - 03:30,3132.05,10.09,3121.82,3132.67,3119.57,1800,N.A.
03:30 - 04:00,3132.73,0.68,3132.11,3134.11,3129.18,1799,N.A.
04:00 - 04:30,3139.38,6.65,3132.66,3140.43,3131.97,1800,N.A.
04:30 - 05:00,3134.25,-5.13,3139.5,3140.18,3133.98,1799,N.A.
05:00 - 05:30,3135.39,1.14,3134.44,3137.41,3133.47,1799,N.A.
05:30 - 06:00,3129.94,-5.45,3135.34,3135.34,3129.16,1800,N.A.
06:00 - 06:30,3132.4,2.46,3129.91,3133.45,3129.91,1800,N.A.
06:30 - 07:00,3130.28,-2.12,3132.39,3132.63,3127.41,1800,N.A.
07:00 - 07:30,3130.47,0.19,3130.32,3131.53,3128.66,1800,N.A.
07:30 - 08:00,3130.68,0.21,3130.48,3133.01,3128.9,1799,N.A.
08:00 - 08:30,3123.65,-7.03,3130.65,3132.22,3123.65,1800,N.A.
08:30 - 09:00,3116.91,-6.74,3123.08,3128.53,3106.41,1799,N.A.
