Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
06:00 - 06:30,51175.72,12.19,51163.27,51177.98,51124.5,3192,N.A.
06:30 - 07:00,51138.4,-37.32,51173.9,51186.88,51119.9,3284,N.A.
07:00 - 07:30,51170.06,31.66,51137.98,51170.43,51113.02,2611,N.A.
07:30 - 08:00,51277.69,107.63,51170.28,51291.33,51170.02,3966,N.A.
08:00 - 08:30,51245.97,-31.72,51277.21,51277.52,51217.97,3843,N.A.
08:30 - 09:00,51205.63,-40.34,51245.79,51271.69,51197.46,4118,N.A.
09:00 - 09:30,51181.27,-24.36,51205.68,51220.29,51170.41,4526,N.A.
09:30 - 10:00,51179.7,-1.57,51182.32,51220.53,51141.35,4045,N.A.
10:00 - 10:30,51154.44,-25.26,51154.44,51154.44,51154.44,1,N.A.
08JAN2020_00:00:00.000000,,,,,,,
01:30 - 02:00,51154.44,0,51154.44,51154.44,51154.44,1,N.A.
02:00 - 02:30,50880.02,-274.42,51147.53,51270.27,50835.47,2622,N.A.
02:30 - 03:00,50969.7,89.68,50881.15,50999.7,50881.15,2466,N.A.
03:00 - 03:30,51010.33,40.63,50969.62,51157.77,50961.32,5501,N.A.
03:30 - 04:00,50994.57,-15.76,51010.37,51025,50927.99,3514,N.A.
04:00 - 04:30,50889.36,-105.21,50996.23,50996.81,50885.21,4173,N.A.
04:30 - 05:00,50985,95.64,50889.51,50999.87,50887.33,2572,N.A.
05:00 - 05:30,51030.33,45.33,50985.04,51076.35,50978.5,2881,N.A.
05:30 - 06:00,51088.89,58.56,51030.27,51093.27,51001.32,2408,N.A.
06:00 - 06:30,51029.24,-59.65,51089.62,51095.09,51018.64,2608,N.A.
06:30 - 07:00,51012.85,-16.39,51028.81,51037.29,50979.27,2705,N.A.
07:00 - 07:30,51061.57,48.72,51012.71,51083.22,50966.95,3146,N.A.
07:30 - 08:00,51080,18.43,51061.78,51099.83,51046.84,2367,N.A.
08:00 - 08:30,51075.1,-4.9,51080.05,51081.06,51007.53,3252,N.A.
08:30 - 09:00,51027.49,-47.61,51075.65,51095.88,50984.92,3987,N.A.
09:00 - 09:30,51031.7,4.21,51027.21,51053.25,51011.61,3985,N.A.
09:30 - 10:00,51004.21,-27.49,51031.65,51058.65,51001.31,4105,N.A.
